-181.445, -52.745, 14.586, 103.400
-181.435, -54.212, 14.730, 103.800
-181.425, -55.693, 14.875, 104.200
-181.415, -57.189, 15.022, 104.600
-181.404, -58.700, 15.170, 105.000
-181.394, -60.226, 15.320, 105.400
-181.383, -61.767, 15.471, 105.800
-181.372, -63.323, 15.623, 106.200
-181.361, -64.894, 15.777, 106.600
-181.350, -66.481, 15.932, 107.000
-181.338, -68.084, 16.089, 107.400
-181.327, -69.702, 16.246, 107.800
-181.315, -71.336, 16.406, 108.200
-181.303, -72.986, 16.566, 108.600
-181.290, -74.652, 16.728, 109.000
-181.278, -76.334, 16.891, 109.400
-181.265, -78.033, 17.056, 109.800
-181.252, -79.749, 17.222, 110.200
-181.239, -81.481, 17.390, 110.600
-181.226, -83.229, 17.558, 111.000
-181.212, -84.995, 17.729, 111.400
-181.198, -86.778, 17.900, 111.800
-181.184, -88.578, 18.073, 112.200
-181.169, -90.396, 18.240, 112.600
-181.155, -92.228, 18.390, 113.000
-181.140, -94.074, 18.503, 113.400
-181.125, -95.927, 18.556, 113.800
-181.109, -97.781, 18.527, 114.200
-181.094, -99.626, 18.410, 114.600
-181.078, -101.454, 18.219, 115.000
-181.063, -103.261, 17.979, 115.400
-181.048, -105.042, 17.720, 115.800
-181.032, -106.798, 17.469, 116.200
-181.017, -108.531, 17.244, 116.600
-181.001, -110.244, 17.059, 117.000
-180.986, -111.942, 16.918, 117.400
-180.970, -113.628, 16.819, 117.800
-180.955, -115.307, 16.757, 118.200
-180.939, -116.982, 16.723, 118.600
-180.923, -118.654, 16.709, 119.000
-180.908, -120.325, 16.703, 119.400
-180.892, -121.995, 16.695, 119.800
-180.875, -123.664, 16.675, 120.200
-180.859, -125.329, 16.635, 120.600
-180.843, -126.989, 16.570, 121.000
-180.826, -128.640, 16.482, 121.400
-180.810, -130.282, 16.372, 121.800
-180.793, -131.911, 16.248, 122.200
-180.777, -133.528, 16.117, 122.600
-180.760, -135.132, 15.987, 123.000
-180.743, -136.723, 15.864, 123.400
-180.727, -138.303, 15.752, 123.800
-180.710, -139.872, 15.653, 124.200
-180.693, -141.433, 15.568, 124.600
-180.676, -142.985, 15.495, 125.000
-180.659, -144.531, 15.431, 125.400
-180.641, -146.071, 15.372, 125.800
-180.624, -147.605, 15.314, 126.200
-180.606, -149.133, 15.255, 126.600
-180.589, -150.655, 15.191, 127.000
-180.571, -152.170, 15.122, 127.400
-180.553, -153.677, 15.046, 127.800
-180.535, -155.177, 14.965, 128.200
-180.517, -156.668, 14.879, 128.600
-180.498, -158.151, 14.791, 129.000
-180.479, -159.625, 14.703, 129.400
-180.461, -161.090, 14.617, 129.800
-180.442, -162.547, 14.534, 130.200
-180.423, -163.995, 14.455, 130.600
-180.403, -165.436, 14.379, 131.000
-180.383, -166.870, 14.307, 131.400
-180.363, -168.297, 14.238, 131.800
-180.343, -169.717, 14.171, 132.200
-180.322, -171.130, 14.104, 132.600
-180.301, -172.536, 14.037, 133.000
-180.279, -173.936, 13.969, 133.400
-180.257, -175.328, 13.900, 133.800
-180.234, -176.714, 13.830, 134.200
-180.208, -178.093, 13.759, 134.600
-180.178, -179.464, 13.687, 135.000
-180.142, -180.828, 13.614, 135.400
-180.096, -182.184, 13.543, 135.800
-180.040, -183.533, 13.472, 136.200
-179.969, -184.874, 13.401, 136.600
-179.882, -186.207, 13.332, 137.000
-179.778, -187.532, 13.264, 137.400
-179.657, -188.849, 13.198, 137.800
-179.514, -190.157, 13.131, 138.200
-179.350, -191.455, 13.065, 138.600
-179.164, -192.744, 13.002, 139.000
-178.952, -194.023, 12.936, 139.400
-178.716, -195.290, 12.873, 139.800
-178.458, -196.547, 12.810, 140.200
-178.174, -197.792, 12.752, 140.600
-177.867, -199.027, 12.720, 141.000
-177.539, -200.256, 12.729, 141.400
-177.190, -201.484, 12.780, 141.800
-176.819, -202.712, 12.867, 142.200
-176.427, -203.945, 12.985, 142.600
-176.015, -205.186, 13.129, 143.000
-175.580, -206.435, 13.289, 143.400
-175.123, -207.694, 13.464, 143.800
-174.646, -208.965, 13.649, 144.200
